# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min pressure = 6000000.0, max pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 9.90000000000e+01, 9.00000000000e+06, 5.60718286491e+00, 1.04340106053e-05, 5.05126239004e+06
 9.90000000000e+01, 1.00000000000e+07, 6.19981024894e+00, 1.04450038827e-05, 5.05756517020e+06
 9.90000000000e+01, 1.10000000000e+07, 6.78662027447e+00, 1.04568097384e-05, 5.06391528530e+06
 9.90000000000e+01, 1.20000000000e+07, 7.36768248623e+00, 1.04694029139e-05, 5.07031229815e+06
 9.90000000000e+01, 1.30000000000e+07, 7.94306628013e+00, 1.04827588551e-05, 5.07675563414e+06
 9.90000000000e+01, 1.40000000000e+07, 8.51284095380e+00, 1.04968537003e-05, 5.08324460445e+06
 9.90000000000e+01, 1.50000000000e+07, 9.07707572895e+00, 1.05116642671e-05, 5.08977842645e+06
 9.90000000000e+01, 1.60000000000e+07, 9.63583975173e+00, 1.05271680394e-05, 5.09635624152e+06
 9.90000000000e+01, 1.70000000000e+07, 1.01892020762e+01, 1.05433431551e-05, 5.10297713058e+06
 9.90000000000e+01, 1.80000000000e+07, 1.07372316350e+01, 1.05601683926e-05, 5.10964012763e+06
 9.90000000000e+01, 1.90000000000e+07, 1.12799972013e+01, 1.05776231572e-05, 5.11634423153e+06
 9.90000000000e+01, 2.00000000000e+07, 1.18175673439e+01, 1.05956874682e-05, 5.12308841611e+06
